Artist,Song,URL,User_Rating,Vocalist,BPM,Genre,Release_Year,Duration_MM_SS,YT_Play_Count
"Al Green","Love and Happiness","https://www.youtube.com/watch?v=DKhxhuwZ-eA","6","Male","97","Soul","1972","5:07",""
"Stevie Wonder / Cypress Hill / Run-DMC","My Superstitious Brain","https://www.youtube.com/watch?v=1rZ9cqSJgRM","8","Male","105","Mashup","2010","3:30",""
"Bach","Cello Suite No. 1 in G","https://www.youtube.com/watch?v=1prweT95Mo0","7","Instrumental","Varies","Classical","1717","2:30",""
"Dolly Parton","Jolene","https://www.youtube.com/watch?v=Ixrje2rXLMA","7","Female","111","Country","1973","2:41",""
"Magdalena Bay","Cry for Me","https://www.youtube.com/watch?v=Xcq3xMCcGlI","4","Female","115","Synth Pop","2024","4:00",""
"Sam the Sham and the Pharoahs","Little Red Riding Hood","https://www.youtube.com/watch?v=_FA85RO89HA","5","Male","135","Garage Rock","1966","2:40",""
"Velvet Underground","Oh! Sweet Nuthin'","https://www.youtube.com/watch?v=yhwSPRY51gs","6","Male","75","Rock","1970","7:29",""
"Blondie","Call Me","https://www.youtube.com/watch?v=o3hHsVtqNFQ","5","Female","142","New Wave","1980","3:32",""
"Lord Huron","The Night We Met","https://www.youtube.com/watch?v=KtlgYxa6BMU","8","Male","87","Indie Folk","2015","3:28",""
"New Order","Age of Consent","https://www.youtube.com/watch?v=gG9fEaITgCk","7","Male","145","Synth Pop","1983","5:16",""
"Patsy Cline","Walkin’ After Midnight","https://www.youtube.com/watch?v=bsRNCvHXHHU","4","Female","100","Country","1957","2:33",""
"Chappell Roan","Good Luck, Babe!","https://www.youtube.com/watch?v=1RKqOmSkGgM","3","Female","116","Pop","2024","3:38",""
"Best Coast","When I'm With You","https://www.youtube.com/watch?v=iDhtJFbwhOQ","4","Female","135","Indie Pop","2010","2:58",""
"NMH","In the Aeroplane Over the Sea","https://www.youtube.com/watch?v=1FeD16vu_qQ","8","Male","145","Indie Folk","1998","3:22",""
"Traditional","In the Bleak Midwinter","https://www.youtube.com/watch?v=cBCYZ9jIJkI","5","Choral","Varies","Christmas Carol","1906","4:00",""
"Traditional","Mo Ghille Mear","https://www.youtube.com/watch?v=zxjvNUNXhkU","7","Choral","Varies","Celtic","1900","3:30",""
"A Tribe Called Quest","Can I Kick It?","https://www.youtube.com/watch?v=D-uV8TGjaGU","6","Male","96","Hip Hop","1990","4:11",""
"LDR","The Greatest","https://www.youtube.com/watch?v=mUWOsiwy_1g","3","Female","77","Alt Pop","2019","5:00",""
"Pixies","Wave of Mutilation","https://www.youtube.com/watch?v=RuHeAs0rw5M","3","Male","146","Alt Rock","1989","2:04",""
"Air","Cemetary Party","https://www.youtube.com/watch?v=eLxfYF65Eio","4","Instrumental","100","Electronic","1998","2:00",""
"The Rolling Stones","Out of Time","https://www.youtube.com/watch?v=B_0TOCR_OIk","5","Male","130","Rock","1966","5:37",""
"Kavinsky","Odd Look","https://www.youtube.com/watch?v=EeEDRqDsj7c","3","Male","105","Synthwave","2013","4:49",""
"McIntosh County Singers","Signs of the Judgement","https://www.youtube.com/watch?v=MBvtK49D9dM","4","Choral","115","Gospel","1993","3:00",""
"Traditional","Dominus Vobiscum","https://www.youtube.com/watch?v=F6VxR0JxpUQ","5","Choral","Varies","Gregorian","1000","2:00",""
"The White Stripes","Dead Leaves and the Dirty Ground","https://www.youtube.com/watch?v=7OyytKqYjkE","7","Male","95","Garage Rock","2001","3:04",""
"Nena","99 Luftballoons","https://www.youtube.com/watch?v=Fpu5a0Bl8eY","5","Female","193","New Wave","1983","3:52",""
"Bob Seger","Night Moves","https://www.youtube.com/watch?v=xH7cSSKnkL4","8","Male","118","Heartland Rock","1976","5:25",""
"Lauryn Hill","Can't Take My Eyes Off You","https://www.youtube.com/watch?v=wVzvXW9bo5U","6","Female","100","R&B","1998","3:41",""
"La Roux","Bulletproof","https://www.youtube.com/watch?v=MSkOmSK-PNs","3","Female","123","Synthpop","2009","3:26",""
"Joanna Newsom","Emily","https://www.youtube.com/watch?v=D1lBOA_8OZ0","6","Female","110","Chamber Folk","2006","12:07",""
"Fleet Foxes","Mykonos","https://www.youtube.com/watch?v=dPLaDtvVdaU","8","Male","105","Indie Folk","2008","4:35",""
"The Beastie Boys","Sabotage","https://www.youtube.com/watch?v=onfTL0-A3EA","5","Male","168","Rap Rock","1994","2:58",""
"Vivaldi","Winter","https://www.youtube.com/watch?v=TZCfydWF48c","6","Instrumental","Varies","Classical","1723","3:20",""
"Amy Winehouse","Back to Black","https://www.youtube.com/watch?v=4Q4Gy2Z7xZ0","7","Female","123","Soul","2006","4:01",""
"Sacred Harp","Nearer My God to Thee","https://www.youtube.com/watch?v=_CTlxFwXHAs","8","Choral","Varies","Hymn","1841","3:00",""
"Leonard Cohen","The Partisan","https://www.youtube.com/watch?v=hs5hOhI4pEE","6","Male","125","Folk","1969","3:26",""
"Muddy Waters","Mannish Boy","https://www.youtube.com/watch?v=bSfqNEvykv0","","Male","60","Blues","1955","2:56",""
"Arctic Monkeys","Ritz to the Rubble","https://www.youtube.com/watch?v=H8bNHRVwzyA","","Male","150","Indie Rock","2006","3:11",""
"Taylor Swift","Cruel Summer","https://www.youtube.com/watch?v=ic8j13piAhQ","","Female","170","Pop","2019","2:58",""
"Tammy Wynette","Stand By Your Man","https://www.youtube.com/watch?v=AM-b8P1yj9w","","Female","80","Country","1968","2:38",""
"Francois Hardy","La Temps de l'Amour","https://www.youtube.com/watch?v=fCadGsFrj58","","Female","145","Ye-ye Pop","1962","2:24",""
"Abba","Gimme Gimme","https://www.youtube.com/watch?v=-mHMvYn6RVs","","Female","120","Disco","1979","4:52",""
"First Aid Kit","Emmylou","https://www.youtube.com/watch?v=PC57z-oDPLs","","Female","82","Folk","2012","4:18",""
"CCR","Have You Ever Seen the Rain","https://www.youtube.com/watch?v=bO28lB1uwp4","","Male","116","Rock","1970","2:40",""
"Townes Van Zandt","Pancho and Lefty","https://www.youtube.com/watch?v=zprRZ2wFQD4","","Male","100","Country Folk","1972","3:40",""
"Chris Stapleton","Tennessee Whiskey","https://www.youtube.com/watch?v=4zAThXFOy2c","","Male","49","Country Soul","2015","4:53",""
